position,docid,date,court,title
30,150419220,2020-12-03,Telangana High Court,"M. Laxman vs The State Of Telangana And Another on 3 December, 2020"
31,145043097,2020-03-09,Allahabad High Court,"In-Re Banners Placed On Road Side In The ... vs State Of U.P. on 9 March, 2020"
32,182011798,2016-05-06,Bombay High Court,"Haresh M. Jagtiani vs The State Of Maharashtra on 6 May, 2016"
33,26686171,2012-08-27,Madras High Court,"Selvi. J. Jayalalithaa vs . on 27 August, 2012"
34,30170031,2012-09-17,Madras High Court,"G.Raman Alias Ramachandran vs The Superintendent Of Police on 17 September, 2012"
35,48511854,2021-08-03,Madras High Court,"Karthick Theodre vs The Registrar General on 3 August, 2021"
36,10705428,2021-01-29,Allahabad High Court,"Jeeshan @ Jaanu And Another vs State Of U P And 4 Others on 29 January, 2021"
37,5779829,2025-07-14,Supreme Court of India,"Vibhor Garg vs Neha on 14 July, 2025"
38,41451094,1996-12-18,Supreme Court of India,"People`S Union For Civilliberties ... vs The Union Of India And Another on 18 December, 1996"
39,91580409,2024-11-07,Kerala High Court,"Dejo Kappan vs Deccan Herald on 7 November, 2024"
40,2280422,2024-11-07,Kerala High Court,"Public Eye vs Union Of India on 7 November, 2024"
41,99143757,2024-11-07,Kerala High Court,"Suo Motu vs State Of Kerala on 7 November, 2024"
42,76200645,2024-07-10,Madras High Court,"Snj Breweries Pvt. Ltd vs The Principal Director Of Income Tax on 10 July, 2024"
43,10613322,2024-07-10,Madras High Court,"Snj Breweries Pvt. Ltd vs The Principal Director Of Income Tax on 10 July, 2024"
44,185458725,2024-09-09,Punjab-Haryana High Court,"Yash Pal And Another vs State Of Haryana And Others on 9 September, 2024"
45,51064190,2025-06-16,Madhya Pradesh High Court,"Smt Anjali Shara vs Raman Upadhyay on 16 June, 2025"
46,156445466,2023-05-10,Delhi High Court,"Sachin Arora vs Manju Arora on 10 May, 2023"
47,33157226,2020-11-02,Madhya Pradesh High Court,"Arun Sharma vs State Of Madhya Pradesh on 2 November, 2020"
48,144613500,2016-09-29,Madras High Court,"W.P.No.32478 Fo 2015 vs Film Certification Appellate Tribunal on 29 September, 2016"
49,26814687,2023-12-21,Kerala High Court,"Salil Raveendran vs Union Of India on <b>21</b> December, 2023"
50,33391623,2023-08-21,Jharkhand High Court,"Birendra Singh vs State Of Jharkhand Through The Chief ... on <b>21</b> August, 2023"
51,17652490,2020-09-21,Andhra Pradesh High Court - Amravati,"Gujjula Sreenu, vs The Cid on <b>21</b> September, 2020"
52,150193043,2016-08-06,Kerala High Court,"Anoop.M.S vs State Of Kerala on 6 August, 2016"
53,71066966,2023-07-11,Delhi High Court,"Krishna Kishore Singh vs Sarla A Saraogi & Ors. on 11 July, 2023"
54,68490872,2021-11-22,Bombay High Court,"Dhyandev Kachruji Wankhede vs Nawab Malik on 22 November, 2021"
55,4099806,2025-02-28,Delhi High Court,"Gautam Mehra vs Sonia Mehra & Anr. on 28 February, 2025"
56,39898414,2015-08-11,Supreme Court - Daily Orders,"Justice K.S.Puttaswamy(Retd) vs Union Of India on 11 August, 2015"
57,1720422,1998-05-20,Kerala High Court,"M.K. Chandran And Etc. vs Commissioner Of Police, Kochi And Ors. on 20 May, 1998"
58,133529627,2020-12-02,Telangana High Court,"Ragula Ramulu vs The State Of Telangana And 3 Others on 2 December, 2020"
59,137700481,2021-01-19,Telangana High Court,"Thumkunta Madhava Reddy vs The State Of Telangana And 5 Others on 19 January, 2021"
60,82802682,2025-05-31,Jammu & Kashmir High Court,"Dilawar Singh Alias Makhan vs Union Territory Of J&K on 31 May, 2025"
61,152264126,2024-09-10,Karnataka High Court,"Sri Bhaskar N D vs Smt Anitha Lakshmi B H on 10 September, 2024"
62,102198873,2019-04-18,Telangana High Court,"Mohammed Aqee Ahmed vs The State Of Telangana on 18 April, 2019"
63,196336564,2024-08-30,Income Tax Appellate Tribunal - Delhi,"Anil Chaudhary, New Delhi vs Acit Central Circle-17, New Delhi on 30 August, 2024"
64,106207071,2024-08-30,Income Tax Appellate Tribunal - Delhi,"Anil Chaudhary, New Delhi vs Acit Central Circle-17, New Delhi on 30 August, 2024"
65,55135626,2024-08-30,Income Tax Appellate Tribunal - Delhi,"Anil Chaudhary, New Delhi vs Acit Central Circle-17, New Delhi on 30 August, 2024"
66,85161354,2024-08-30,Income Tax Appellate Tribunal - Delhi,"Anil Chaudhary, New Delhi vs Acit Central Circle-17, New Delhi on 30 August, 2024"
67,139220552,2024-08-30,Income Tax Appellate Tribunal - Delhi,"Anil Chaudhary, New Delhi vs Acit Central Circle-17, New Delhi on 30 August, 2024"
68,169414973,2024-08-30,Income Tax Appellate Tribunal - Delhi,"Anil Chaudhary, New Delhi vs Acit Central Circle-17, New Delhi on 30 August, 2024"
69,181504471,2020-03-05,Central Administrative Tribunal - Bangalore,"Ramakrishna Prasad Mv & Anr vs T M Vijay Bhaskar on 5 March, 2020"
70,166227065,2025-06-24,Bangalore District Court,"Annette Anupama vs Ramesha Chandra V on 24 June, 2025"
71,1960517,2009-03-02,Central Information Commission,"Shri Prakash Jus Roy vs Deputy Commissioner Of Police, (Dcp) ... on 2 March, 2009"
72,143202244,2020-10-29,Supreme Court of India,"Tofan Singh vs The State Of Tamil Nadu on 29 October, 2020"
73,47938967,2013-09-03,Supreme Court of India,"Union Of India vs Namit Sharma on 3 September, 2013"
74,91938676,2017-08-24,Supreme Court of India,"Justice K.S.Puttaswamy(Retd) And Anr. vs Union Of India And Ors. on 24 August, 2017"
75,127517806,2018-09-26,Supreme Court of India,"Justice K.S.Puttaswamy(Retd) vs Union Of India on 26 September, 2018"
76,1382895,1984-08-08,Supreme Court of India,"Smt. Saroj Rani vs Sudarshan Kumar Chadha on 8 August, 1984"
77,382721,1998-09-21,Supreme Court of India,"Mr. 'X' vs Hospital 'Z' on <b>21</b> September, 1998"
78,1378226,2011-09-23,Delhi High Court,"Rohit Shekhar vs Shri Narayan Dutt Tiwari & Anr. on 23 September, 2011"
79,1203848,2001-09-18,Delhi High Court,"Khushwant Singh And Anr. vs Maneka Gandhi on 18 September, 2001"
80,39021018,2021-10-27,Supreme Court of India,"Manohar Lal Sharma vs Union Of India on 27 October, 2021"
81,570038,2007-03-23,Bombay High Court,"Mr. Surupsingh Hrya Naik vs State Of Maharashtra Through ... on 23 March, 2007"
82,860378,2004-07-20,Orissa High Court,"Thogorani Alias K. Damayanti vs State Of Orissa And Ors. on 20 July, 2004"
83,818689,1999-09-29,Bombay High Court,"Arun Gulab Gavli vs The State Of Maharashtra And Ors. on 29 September, 1999"
84,485108,2001-08-18,Andhra HC (Pre-Telangana),"Elkapalli Latchaiah And Another vs Govt. Of A.P. And Others on 18 August, 2001"
85,1084653,1996-03-01,Delhi High Court,"Neelam Mahajan Singh vs Commissioner Of Police on 1 March, 1996"
86,17990001,2022-05-02,Supreme Court of India,"Jacob Puliyel vs Union Of India on 2 May, 2022"
87,251249,2006-11-22,Madras High Court,"Mr.K.J.Doraisamy vs The Assistant General Manager on 22 November, 2006"
88,1987982,1983-07-01,Andhra HC (Pre-Telangana),"T. Sareetha vs T. Venkata Subbaiah on 1 July, 1983"
89,57212191,2007-10-26,Madras High Court,"The Managing Director, Makkal Tholai ... vs Mrs. V. Muthulakshmi on 26 October, 2007"
90,185050052,2018-04-02,Gujarat High Court,"Nimeshbhai Bharatbhai Desai vs State Of Gujarat on 2 April, 2018"
91,101637927,2019-11-13,Supreme Court of India,"Cen.Pub.Information Officer,Sci . vs Subhash Chandra Agarwal on 13 November, 2019"
92,77691264,2016-09-30,Patna High Court,"United Breweries Limited A Company ... vs The State Of Bihar & Ors on 30 September, 2016"
93,8534067,2009-04-13,Delhi High Court,"Petronet Lng Ltd vs Indian Petro Group And Another on 13 April, 2009"
94,89796496,2020-09-30,Andhra Pradesh High Court - Amravati,"A.B. Venkateswara Rao, vs The State Of Andhra Pradesh, on 30 September, 2020"
95,74952193,2016-05-05,Calcutta High Court (Appellete Side),"State Bank Of India & Ors vs Ujjal Kumar Das & Anr on 5 May, 2016"
96,11481944,2016-09-30,Patna High Court,"Confederation Of Indian Alcoholic ... vs The State Of Bihar & Ors on 30 September, 2016"
97,164818069,2019-08-30,Karnataka High Court,"Ms. Bushra Abdul Aleem vs Government Of Karnataka on 30 August, 2019"
98,134507765,2017-08-28,Sikkim High Court,"Rabin Burman vs State Of Sikkim on 28 August, 2017"
99,149860325,2013-02-05,Delhi High Court,"Abc vs Commissioner Of Police & Ors. on 5 February, 2013"
100,66482610,2018-05-23,Delhi High Court,"Prime Ministers National Relief Fund vs Aseem Takyar on 23 May, 2018"
101,6270392,2012-11-30,Andhra HC (Pre-Telangana),"Soma Rama Chandram, S/O.Late ... vs The State Of Andhra Pradesh, ... on 30 November, 2012"
102,708608,1999-09-14,Andhra HC (Pre-Telangana),"B.K. Parthasarathi vs Government Of A.P. And Others on 14 September, 1999"
103,627683,2001-12-20,Delhi High Court,"Ms. X vs Mr. Z And Anr. on 20 December, 2001"
104,172125272,2017-02-14,Central Information Commission,"A M Kalra vs Ministry Of Human Resource Development on 14 February, 2017"
105,179849774,2021-11-18,Allahabad High Court,"Mayra Alias Vaishnvi Vilas Shirshikar ... vs State Of Up And Others on 18 November, 2021"
106,680703,2011-08-26,Bombay High Court,"Imaging Association vs Union Of India on 26 August, 2011"
107,6266786,2020-11-23,Orissa High Court,"Subhranshu Rout @ Gugul vs State Of Odisha ... Opposite Party on 23 November, 2020"
108,138005440,2020-11-06,Telangana High Court,"Ramgopal Varma And Another vs Perumalla Amrutha on 6 November, 2020"
109,194572130,2016-09-30,Patna High Court,"Shailesh Kumar Sinha vs The State Of Bihar & Ors on 30 September, 2016"
110,149583932,2018-04-18,Delhi High Court,"Dr. Sangamitra Acharya & Anr. vs State (Nct Of Delhi) & Ors on 18 April, 2018"
111,155695509,2016-08-26,Delhi High Court,"‘W’ vs ‘H’ & Anr on 26 August, 2016"
112,194928649,2020-11-03,Karnataka High Court,"Ragini Dwivedi @ Gini @ Rags vs The State Of Karnataka on 3 November, 2020"
113,195904401,2011-02-04,Allahabad High Court,"M/S M.D. Overseas Ltd. vs Director General Of Income-Tax (Inv.) ... on 4 February, 2011"
114,20600292,2015-06-11,Bombay High Court,"Shailesh Gandhi vs The Central Information Commission And ... on 11 June, 2015"
115,125045408,2013-10-04,National Consumer Disputes Redressal,"Cellular Operators Association Of ... vs Nivedita Sharma on 4 October, 2013"
116,18067354,2019-12-10,Central Information Commission,"Ehtesham Qutubuddin Siddiqui vs Ministry Of Home Affairs on 10 December, 2019"
117,160426822,2017-06-12,Uttarakhand High Court,"State Of Uttarakhand vs Ajam on 12 June, 2017"
118,147635015,2022-12-22,Kerala High Court,"Dr.Krishna Menon vs High Court Of Kerala on 22 December, 2022"
119,198883106,2014-10-31,Madras High Court,"Prayer: Criminal Original Petition ... vs Dharmpal Reported In Air 2003 Sc 3450 ... on 31 October, 2014"
120,32424330,2019-03-11,Allahabad High Court,"Rajiv Kumar vs State Of U.P. And Another on 11 March, 2019"
121,301947,2009-10-08,Madras High Court,"Premkumar vs Rajeswari on 8 October, 2009"
122,36226888,2013-06-14,Madras High Court,"The Registrar General vs A.Kanagaraj on 14 June, 2013"
123,110109675,2014-12-03,Karnataka High Court,"Shreemad Jagadguru Shankaracharya vs State Of Karnataka on 3 December, 2014"
124,1402614,1999-10-01,Madras High Court,"Society Of Auditors vs Comptroller & Auditor General Of India on 1 October, 1999"
125,77597954,2025-01-28,Supreme Court of India,"Ivan Rathinam vs Milan Joseph on 28 January, 2025"
126,156229404,2024-07-18,Supreme Court of India,"Sheikh Javed Iqbal @ Ashfaq Ansari ... vs The State Of Uttar Pradesh on 18 July, 2024"
127,95281330,2024-07-08,Supreme Court of India,"Frank Vitus vs Narcotics Control Bureau on 8 July, 2024"
128,111330631,2016-09-30,Patna High Court,"M/S Blooms Liquors Pvt. Ltd vs The State Of Bihar & Ors on 30 September, 2016"
129,155686732,2016-09-30,Patna High Court,"Ravi Bhushan Singh & Ors vs The State Of Bihar & Ors on 30 September, 2016"
130,161541512,2016-09-30,Patna High Court,"Lt. Col. ( Retd.) Shiv Nath Jha vs The State Of Bihar & Ors on 30 September, 2016"
131,55055802,2016-09-30,Patna High Court,"The Federation Of Hotel & Restaurant ... vs The State Of Bihar & Ors on 30 September, 2016"
132,126407099,2016-09-30,Patna High Court,"Dr. Priya Ranjan vs The State Of Bihar & Ors on 30 September, 2016"
133,82868255,2016-09-30,Patna High Court,"Saheb Kumar vs The State Of Bihar & Ors on 30 September, 2016"
134,179307149,2016-09-30,Patna High Court,"M/S Tarangni Liquors Pvt. Ltd vs The State Of Bihar & Ors on 30 September, 2016"
135,62884689,2016-09-30,Patna High Court,"Dr. Anil Kumar Prasad Sinha vs The State Of Bihar & Anr on 30 September, 2016"
136,84109309,2016-09-30,Patna High Court,"Manoj Kumar & Ors vs The State Of Bihar & Ors on 30 September, 2016"
137,162554859,2016-09-30,Patna High Court,"Shiv Shankar Prasad & Ors vs The State Of Bihar & Ors on 30 September, 2016"
138,154645647,2016-09-30,Patna High Court,"Krishna Kumar vs The State Of Bihar & Ors on 30 September, 2016"
139,158106960,2025-01-28,Madhya Pradesh High Court,"Avijit Sharma vs The State Of Madhya Pradesh on 28 January, 2025"
140,166344315,2019-07-19,Allahabad High Court,"Rajesh Kumar Chaudhary vs Smt. Sarita on 19 July, 2019"
141,984090,1999-10-01,Madras High Court,"Society Of Auditors And Etc. vs Comptroller And Auditor General Of ... on 1 October, 1999"
142,1215888,1999-10-01,Madras High Court,"Chartered Accountants Study Circle vs Institute Of Chartered Accountants on 1 October, 1999"
143,116451507,2023-07-06,Telangana High Court,"Vyjayanti Vasanta Mogli Alias M.Vijay ... vs The State Of Telangana And 5 Others on 6 July, 2023"
144,74959568,2023-07-06,Telangana High Court,"Kmv Monalisa vs The State Of Telangana on 6 July, 2023"
145,116348744,2023-07-06,Telangana High Court,"V. Vasanta Mogli vs State Of Telangana on 6 July, 2023"
146,157120975,2025-03-07,Rajasthan High Court - Jaipur,"Rakesh Kumar Meena S/O Shri Rampratap ... vs State Of Rajasthan on 7 March, 2025"
147,154811412,2025-03-07,Rajasthan High Court - Jaipur,"Rakesh Kumar Meena S/O Shri Rampratap ... vs State Of Rajasthan on 7 March, 2025"
148,34986680,2021-09-17,Kerala High Court,"N.V. Habeebu Rahman vs State Of Kerala on 17 September, 2021"
149,14366433,2025-09-18,Madras High Court,"Arumugam vs Kalaiselvi on 18 September, 2025"
150,42971865,2025-09-25,Madras High Court,"Kandhasamy vs Magudeeshwari on 25 September, 2025"
151,139534445,2025-09-01,Karnataka High Court,"Sri Hareesh @ Harishkumar vs Sri A S Umesh on 1 September, 2025"
152,126251749,2024-05-03,Telangana High Court,"Ptm Gopala Krishna vs Chief General Manager And Appellate ... on 3 May, 2024"
153,169401647,2024-10-29,Gauhati High Court,"Crl.Pet./312/2020 on 29 October, 2024"
154,11161964,2024-10-29,Gauhati High Court,"Page No.# 1/33 vs Dibyajyoti Dutta (A-1) on 29 October, 2024"
155,97144838,2023-04-26,Delhi High Court,"Digital Collectibles Pte Ltd And Ors. vs Galactus Funware Technology Private ... on 26 April, 2023"
156,194137582,2017-03-21,Gujarat High Court,"Pradeep Radheshyam Vyas vs State Of Gujarat & 4 on <b>21</b> March, 2017"
157,28114504,2025-09-03,Madras High Court,"Venkatesh vs Seenivasan on 3 September, 2025"
158,186983516,2025-09-03,Madras High Court,"Venkatesh vs Seenivasan on 3 September, 2025"
159,175890809,2022-09-02,Punjab-Haryana High Court,"Swaran Singh vs State Of Punjab on 2 September, 2022"
160,91300081,2020-11-23,Madras High Court,"Sanjay Bhandari vs The Secretary Of Govt. Of India on 23 November, 2020"
161,90002527,2020-10-06,Andhra Pradesh High Court - Amravati,"Komaram Venkanna Dora, vs The State Of Andhra Pradesh, on 6 October, 2020"
162,188439981,2019-09-19,Kerala High Court,"Faheema Shirin.R.K vs State Of Kerala on 19 September, 2019"
163,47400,2007-10-26,Madras High Court,"The Managing Director vs Mrs.V.Muthulakshmi on 26 October, 2007"
164,1590792,1986-01-10,Kerala High Court,"Ayyappankutty vs The State on 10 January, 1986"
165,79880576,2025-04-23,Chattisgarh High Court,"Prahlad Rathour vs State Of Chhattisgarh on 23 April, 2025"
166,54113030,2021-12-03,Karnataka High Court,"Smt. Gayatri Alias Gadigevva W/O Vijay ... vs Vijay S/O Siddappa Hadimani on 3 December, 2021"
167,133578,2001-12-20,Delhi High Court,"Alika Khosla vs Thomas Mathew And Anr. on 20 December, 2001"
168,36424600,2025-06-19,Kerala High Court,"Prasath C vs State Of Kerala on 19 June, 2025"
169,22986243,2025-07-09,Madras High Court,"C.J.Christopher Signi vs State Of Tamil Nadu on 9 July, 2025"
170,46926484,2022-03-30,Punjab-Haryana High Court,"Ravi Parkash Sharma vs State Of Punjab on 30 March, 2022"
171,155256857,2022-03-31,Punjab-Haryana High Court,"Harmanpreet Singh vs State Of Punjab on 31 March, 2022"
172,21641857,2022-01-04,Madras High Court,"Payel Biswas vs The Commissioner Of Police on 4 January, 2022"
173,24336379,2022-01-04,Madras High Court,"Payel Biswas vs The Commissioner Of Police on 4 January, 2022"
174,194005345,2017-11-13,Rajasthan High Court - Jodhpur,"Ganga Kumari vs State & Ors on 13 November, 2017"
175,57860876,2017-11-06,Madras High Court,"Mr.Thiagarajan Kumararaja vs Union Of India on 6 November, 2017"
176,628973,1996-06-18,Allahabad High Court,"Moti Sunar Alias Moti Lal vs State Of U.P. And Ors. on 18 June, 1996"
177,74262296,2020-03-05,Central Administrative Tribunal - Bangalore,"Ramakrishna Prasad vs D/O Personnel &Amp Administrative ... on 5 March, 2020"
178,161773392,1800-01-01,Law Commission Report,Tribunals
179,126367572,2025-06-06,Central Information Commission,"Hari C. V. vs Indian Institute Of Information ... on 6 June, 2025"
180,18365507,2025-08-05,Central Information Commission,"Radha Raman Tiwari vs Bank Of Baroda on 5 August, 2025"
181,128739592,2025-06-06,Central Information Commission,"Dr. Balasubramaniam Rathinavel vs Canara Bank on 6 June, 2025"
182,163741982,2025-06-06,Central Information Commission,"Hari C. V. vs Indian Institute Of Information ... on 6 June, 2025"
183,98993857,2025-06-06,Central Information Commission,"Hari C. V. vs Indian Institute Of Information ... on 6 June, 2025"
184,160194916,2021-03-25,Central Information Commission,"Harjith D Bubber vs Ministry Of External Affairs on 25 March, 2021"
185,199079719,2020-04-27,Central Information Commission,"Dr. Sanjeev Goel vs Ministry Of External Affairs on 27 April, 2020"
186,67875194,2009-12-23,Central Information Commission,"Shri Sudhir Chopra vs Central Vigilance Commission (Cvc) on 23 December, 2009"
187,130965147,2023-07-14,Central Information Commission,"Kumar Medhavi vs Reserve Bank Of India on 14 July, 2023"
188,112385177,2024-03-07,Central Information Commission,"Basant Kumar Soni vs Reserve Bank Of India on 7 March, 2024"
189,142711069,2024-03-07,Central Information Commission,"Basant Kumar Soni vs Reserve Bank Of India on 7 March, 2024"
190,82759410,2019-12-10,Central Information Commission,"Ehtesham Qutubuddin Siddiqui vs Department Of Personnel & Training on 10 December, 2019"
191,273063,2009-08-06,Central Information Commission,"Shri P. S. Naidu vs Central Vigilance Commission on 6 August, 2009"
192,10350602,2021-12-20,Lok Sabha Debates,"Introduction Of Election Laws (Amendment) Bill, 2021. on 20 December, 2021"
193,656085,2009-08-03,Central Information Commission,"Shri Uvl Radhakrishnan vs Central Vigilance Commission (Cvc) on 3 August, 2009"
194,1199182,1950-01-26,Constitution Article,<b>Article</b> <b>21</b> in Constitution of India
195,1836974,1860-10-06,Union of India - Section,"Section 377 in The Indian Penal Code, 1860"
196,237570,1950-01-26,Constitution and Amendments,Constitution of India
197,168671544,2018-09-06,Supreme Court of India,"Navtej Singh Johar vs Union Of India Ministry Of Law And ... on 6 September, 2018"
198,55517912,2012-12-13,Supreme Court of India,"Bihar Public Service Commn vs Saiyed Hussain Abbas Rizwi & Anr on 13 December, 2012"
199,69052901,2014-11-24,Delhi High Court,"Naresh Trehan vs Rakesh Kumar Gupta on 24 November, 2014"
200,110813550,2015-03-24,Supreme Court of India,"Shreya Singhal vs U.O.I on 24 March, 2015"
201,19607639,2012-09-13,Supreme Court of India,"Namit Sharma vs Union Of India on 13 September, 2012"
202,436241,1975-03-18,Supreme Court of India,"Govind vs State Of Madhya Pradesh & Anr on 18 March, 1975"
203,87705010,2017-10-11,Supreme Court of India,"Independent Thought vs Union Of India on 11 October, 2017"
204,501107,1994-10-07,Supreme Court of India,"R. Rajagopal vs State Of T.N on 7 October, 1994"
205,199141576,2014-08-27,Supreme Court of India,"Manoj Narula vs Union Of India on 27 August, 2014"
206,1068532,2004-11-01,Supreme Court of India,"Distt. Registrar & Collector, ... vs Canara Bank Etc on 1 November, 2004"
207,15059075,2003-03-13,Supreme Court of India,"People'S Union Of Civil Liberties ... vs Union Of India & Anr on 13 March, 2003"
208,1082001,2011-05-11,Supreme Court of India,"Amar Singh vs Union Of India & Ors on 11 May, 2011"
209,43471013,2010-08-03,Supreme Court of India,"Bhabani Prasad Jena Etc vs Convenr.Sec.Orissa S.Comn.For ... on 3 August, 2010"
210,149874576,2013-06-14,Madras High Court,"The Registrar General vs R.M.Subramanian on 14 June, 2013"
211,320371,1983-11-09,Madras High Court,"Roshan Beevi And Ors. vs Joint Secretary To Government Of Tamil ... on 9 November, 1983"
212,175012216,2012-07-13,Delhi High Court,"Upsc vs Rk Jain on 13 July, 2012"
213,42184625,2018-09-27,Supreme Court of India,"Joseph Shine vs Union Of India on 27 September, 2018"
214,845196,1975-03-18,Supreme Court of India,"Gobind vs State Of Madhya Pradesh And Anr. on 18 March, 1975"
215,560071,2008-03-14,Supreme Court of India,"Hinsa Virodhak Sangh vs Mirzapur Moti Kuresh Jamat & Ors on 14 March, 2008"
216,82461587,2020-01-10,Supreme Court of India,"Anuradha Bhasin vs Union Of India on 10 January, 2020"
217,567707,2006-01-03,Delhi High Court,"Ram Jethmalani vs Subramaniam Swamy on 3 January, 2006"
218,122252422,2017-02-15,Supreme Court of India,"Asha Ranjan vs State Of Bihar And Ors on 15 February, 2017"
219,188011203,2019-11-29,Supreme Court of India,"P. Gopalkrishnan @ Dileep vs The State Of Kerala on 29 November, 2019"
220,123985596,2022-09-29,Supreme Court of India,"X vs The Principal Secretary Health And ... on 29 September, 2022"
221,144795012,2012-03-30,Delhi High Court,"Shri Harish Kumar vs Provost Marshal-Cum-Appellate ... on 30 March, 2012"
222,30824516,2017-01-27,State of Maharashtra - Act,"The Maharashtra Animal Preservation Act, 1976."
223,163639357,2018-09-28,Supreme Court of India,"Indian Young Lawyers Association vs The State Of Kerala on 28 September, 2018"
224,769478,2006-04-06,Madras High Court,"R.Rajagopal @ R.R.Gopal @ Nakkheeran ... vs J.Jayalalitha on 6 April, 2006"
225,563567,1997-04-04,Rajasthan High Court - Jaipur,"Mukesh Kumar Ajmera And Ors. vs State Of Rajasthan And Ors. on 4 April, 1997"
226,26134676,2022-08-16,Supreme Court of India,"Deepika Singh vs Central Administrative Tribunal on 16 August, 2022"
227,1411102,2010-08-11,Madras High Court,"Ganesan vs The District Superintendent Of Police on 11 August, 2010"
228,1470089,1999-03-30,Andhra HC (Pre-Telangana),"Mohammed Quadeer And Others vs Commissioner Of Police, Hyderabad And ... on 30 March, 1999"
229,167941851,2023-04-05,Supreme Court of India,"Madhyamam Broadcasting Limited vs Union Of India on 5 April, 2023"
230,107349125,2022-01-12,Supreme Court of India,"Vasudha Sethi vs Kiran V. Bhaskar on 12 January, 2022"
231,155507368,2012-07-25,Allahabad High Court,"Dinesh Kumar Pandey vs State Of U.P. Thru Secy. And Others on 25 July, 2012"
232,156221879,2020-07-03,Madras High Court,"Thirumagan vs The Superintendent Of Police on 3 July, 2020"
233,103716906,2022-04-22,Karnataka High Court,"Sri Manja @ Golla Manja vs State Of Karnataka on 22 April, 2022"
234,19697017,2020-12-02,Madhya Pradesh High Court,"Arun Sharma vs State Of Madhya Pradesh on 2 December, 2020"
235,109068313,2010-10-20,Delhi High Court,"Paardarshita Public Welfare ... vs Uoi And Ors on 20 October, 2010"
236,9565823,2019-07-01,Delhi High Court,"Baljeet Singh vs The Pio, Industrial Training ... on 1 July, 2019"
